,age,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,y
0,58,married,tertiary,no,2143,yes,no,unknown,5,261,1,-1,0,no
1,44,single,secondary,no,29,yes,no,unknown,5,151,1,-1,0,no
2,33,married,secondary,no,2,yes,yes,unknown,5,76,1,-1,0,no
3,47,married,unknown,no,1506,yes,no,unknown,5,92,1,-1,0,no
4,33,single,unknown,no,1,no,no,unknown,5,198,1,-1,0,no
5,35,married,tertiary,no,231,yes,no,unknown,5,139,1,-1,0,no
6,28,single,tertiary,no,447,yes,yes,unknown,5,217,1,-1,0,no
7,42,divorced,tertiary,yes,2,yes,no,unknown,5,380,1,-1,0,no
8,58,married,primary,no,121,yes,no,unknown,5,50,1,-1,0,no
9,43,single,secondary,no,593,yes,no,unknown,5,55,1,-1,0,no
10,41,divorced,secondary,no,270,yes,no,unknown,5,222,1,-1,0,no
11,29,single,secondary,no,390,yes,no,unknown,5,137,1,-1,0,no
12,53,married,secondary,no,6,yes,no,unknown,5,517,1,-1,0,no
13,58,married,unknown,no,71,yes,no,unknown,5,71,1,-1,0,no
14,57,married,secondary,no,162,yes,no,unknown,5,174,1,-1,0,no
15,51,married,primary,no,229,yes,no,unknown,5,353,1,-1,0,no
16,45,single,unknown,no,13,yes,no,unknown,5,98,1,-1,0,no
17,57,married,primary,no,52,yes,no,unknown,5,38,1,-1,0,no
18,60,married,primary,no,60,yes,no,unknown,5,219,1,-1,0,no
19,33,married,secondary,no,0,yes,no,unknown,5,54,1,-1,0,no
20,28,married,secondary,no,723,yes,yes,unknown,5,262,1,-1,0,no
21,56,married,tertiary,no,779,yes,no,unknown,5,164,1,-1,0,no
22,32,single,primary,no,23,yes,yes,unknown,5,160,1,-1,0,no
23,25,married,secondary,no,50,yes,no,unknown,5,342,1,-1,0,no
24,40,married,primary,no,0,yes,yes,unknown,5,181,1,-1,0,no
25,44,married,secondary,no,-372,yes,no,unknown,5,172,1,-1,0,no
26,39,single,tertiary,no,255,yes,no,unknown,5,296,1,-1,0,no
27,52,married,secondary,no,113,yes,yes,unknown,5,127,1,-1,0,no
28,46,single,secondary,no,-246,yes,no,unknown,5,255,2,-1,0,no
29,36,single,secondary,no,265,yes,yes,unknown,5,348,1,-1,0,no
30,57,married,secondary,no,839,no,yes,unknown,5,225,1,-1,0,no
31,49,married,tertiary,no,378,yes,no,unknown,5,230,1,-1,0,no
32,60,married,secondary,no,39,yes,yes,unknown,5,208,1,-1,0,no
33,59,married,secondary,no,0,yes,no,unknown,5,226,1,-1,0,no
34,51,married,tertiary,no,10635,yes,no,unknown,5,336,1,-1,0,no
35,57,divorced,secondary,no,63,yes,no,unknown,5,242,1,-1,0,no
36,25,married,secondary,no,-7,yes,no,unknown,5,365,1,-1,0,no
37,53,married,secondary,no,-3,no,no,unknown,5,1666,1,-1,0,no
38,36,divorced,secondary,no,506,yes,no,unknown,5,577,1,-1,0,no
39,37,single,secondary,no,0,yes,no,unknown,5,137,1,-1,0,no
40,44,divorced,secondary,no,2586,yes,no,unknown,5,160,1,-1,0,no
41,50,married,secondary,no,49,yes,no,unknown,5,180,2,-1,0,no
42,60,married,unknown,no,104,yes,no,unknown,5,22,1,-1,0,no
43,54,married,secondary,no,529,yes,no,unknown,5,1492,1,-1,0,no
44,58,married,unknown,no,96,yes,no,unknown,5,616,1,-1,0,no
45,36,single,primary,no,-171,yes,no,unknown,5,242,1,-1,0,no
46,58,married,tertiary,no,-364,yes,no,unknown,5,355,1,-1,0,no
47,44,married,secondary,no,0,yes,no,unknown,5,225,2,-1,0,no
48,55,divorced,secondary,no,0,no,no,unknown,5,160,1,-1,0,no
49,29,single,tertiary,no,0,yes,no,unknown,5,363,1,-1,0,no
50,54,married,secondary,no,1291,yes,no,unknown,5,266,1,-1,0,no
51,48,divorced,tertiary,no,-244,yes,no,unknown,5,253,1,-1,0,no
52,32,married,tertiary,no,0,yes,no,unknown,5,179,1,-1,0,no
53,42,single,secondary,no,-76,yes,no,unknown,5,787,1,-1,0,no
54,24,single,secondary,no,-103,yes,yes,unknown,5,145,1,-1,0,no
55,38,single,tertiary,no,243,no,yes,unknown,5,174,1,-1,0,no
56,38,single,tertiary,no,424,yes,no,unknown,5,104,1,-1,0,no
57,47,married,unknown,no,306,yes,no,unknown,5,13,1,-1,0,no
58,40,single,unknown,no,24,yes,no,unknown,5,185,1,-1,0,no
59,46,married,primary,no,179,yes,no,unknown,5,1778,1,-1,0,no
60,32,married,tertiary,no,0,yes,no,unknown,5,138,1,-1,0,no
61,53,divorced,secondary,no,989,yes,no,unknown,5,812,1,-1,0,no
62,57,married,primary,no,249,yes,no,unknown,5,164,1,-1,0,no
63,33,married,secondary,no,790,yes,no,unknown,5,391,1,-1,0,no
64,49,married,unknown,no,154,yes,no,unknown,5,357,1,-1,0,no
65,51,married,tertiary,no,6530,yes,no,unknown,5,91,1,-1,0,no
66,60,married,tertiary,no,100,no,no,unknown,5,528,1,-1,0,no
67,59,divorced,tertiary,no,59,yes,no,unknown,5,273,1,-1,0,no
68,55,married,secondary,no,1205,yes,no,unknown,5,158,2,-1,0,no
69,35,single,secondary,no,12223,yes,yes,unknown,5,177,1,-1,0,no
70,57,married,secondary,no,5935,yes,yes,unknown,5,258,1,-1,0,no
71,31,married,secondary,no,25,yes,yes,unknown,5,172,1,-1,0,no
72,54,married,secondary,no,282,yes,yes,unknown,5,154,1,-1,0,no
73,55,married,primary,no,23,yes,no,unknown,5,291,1,-1,0,no
74,43,married,secondary,no,1937,yes,no,unknown,5,181,1,-1,0,no
75,53,married,secondary,no,384,yes,no,unknown,5,176,1,-1,0,no
76,44,married,secondary,no,582,no,yes,unknown,5,211,1,-1,0,no
77,55,divorced,secondary,no,91,no,no,unknown,5,349,1,-1,0,no
78,49,divorced,secondary,no,0,yes,yes,unknown,5,272,1,-1,0,no
79,55,divorced,secondary,yes,1,yes,no,unknown,5,208,1,-1,0,no
80,45,single,secondary,no,206,yes,no,unknown,5,193,1,-1,0,no
81,47,divorced,secondary,no,164,no,no,unknown,5,212,1,-1,0,no
82,42,single,secondary,no,690,yes,no,unknown,5,20,1,-1,0,no
83,59,married,secondary,no,2343,yes,no,unknown,5,1042,1,-1,0,yes
84,46,married,tertiary,no,137,yes,yes,unknown,5,246,1,-1,0,no
85,51,married,primary,no,173,yes,no,unknown,5,529,2,-1,0,no
86,56,married,secondary,no,45,no,no,unknown,5,1467,1,-1,0,yes
87,41,married,secondary,no,1270,yes,no,unknown,5,1389,1,-1,0,yes
88,46,divorced,secondary,no,16,yes,yes,unknown,5,188,2,-1,0,no
89,57,married,secondary,no,486,yes,no,unknown,5,180,2,-1,0,no
90,42,single,secondary,no,50,no,no,unknown,5,48,1,-1,0,no
91,30,married,secondary,no,152,yes,yes,unknown,5,213,2,-1,0,no
92,60,married,secondary,no,290,yes,no,unknown,5,583,1,-1,0,no
93,60,married,unknown,no,54,yes,no,unknown,5,221,1,-1,0,no
94,57,divorced,secondary,no,-37,no,no,unknown,5,173,1,-1,0,no
95,36,married,tertiary,no,101,yes,yes,unknown,5,426,1,-1,0,no
96,55,married,secondary,no,383,no,no,unknown,5,287,1,-1,0,no
97,60,married,tertiary,no,81,yes,no,unknown,5,101,1,-1,0,no
98,39,married,secondary,no,0,yes,no,unknown,5,203,1,-1,0,no
99,46,married,tertiary,no,229,yes,no,unknown,5,197,1,-1,0,no
100,44,married,secondary,no,-674,yes,no,unknown,5,257,1,-1,0,no
101,53,married,primary,no,90,no,no,unknown,5,124,1,-1,0,no
102,52,married,primary,no,128,yes,no,unknown,5,229,1,-1,0,no
103,59,married,primary,no,179,yes,no,unknown,5,55,3,-1,0,no
104,27,single,tertiary,no,0,yes,no,unknown,5,400,1,-1,0,no
105,44,married,secondary,no,54,yes,no,unknown,5,197,1,-1,0,no
106,47,married,tertiary,no,151,yes,no,unknown,5,190,1,-1,0,no
107,34,married,secondary,no,61,no,yes,unknown,5,21,1,-1,0,no
108,59,single,secondary,no,30,yes,no,unknown,5,514,1,-1,0,no
109,45,married,tertiary,no,523,yes,no,unknown,5,849,2,-1,0,no
110,29,divorced,secondary,no,31,yes,no,unknown,5,194,1,-1,0,no
111,46,divorced,secondary,no,79,no,no,unknown,5,144,1,-1,0,no
112,56,married,primary,no,-34,yes,yes,unknown,5,212,2,-1,0,no
113,36,married,primary,no,448,yes,no,unknown,5,286,1,-1,0,no
114,59,divorced,primary,no,81,yes,no,unknown,5,107,1,-1,0,no
115,44,married,secondary,no,144,yes,no,unknown,5,247,2,-1,0,no
116,41,married,secondary,no,351,yes,no,unknown,5,518,1,-1,0,no
117,33,single,tertiary,no,-67,yes,no,unknown,5,364,1,-1,0,no
118,59,divorced,tertiary,no,262,no,no,unknown,5,178,1,-1,0,no
119,57,married,primary,no,0,no,no,unknown,5,98,1,-1,0,no
120,56,divorced,unknown,no,56,yes,no,unknown,5,439,1,-1,0,no
121,51,married,secondary,no,26,yes,no,unknown,5,79,1,-1,0,no
122,34,married,unknown,no,3,yes,no,unknown,5,120,3,-1,0,no
123,43,married,secondary,no,41,yes,yes,unknown,5,127,2,-1,0,no
124,52,married,tertiary,no,7,no,yes,unknown,5,175,1,-1,0,no
125,33,single,secondary,no,105,yes,no,unknown,5,262,2,-1,0,no
126,29,single,secondary,no,818,yes,yes,unknown,5,61,1,-1,0,no
127,34,married,secondary,no,-16,yes,yes,unknown,5,78,1,-1,0,no
128,31,married,secondary,no,0,yes,no,unknown,5,143,1,-1,0,no
129,55,married,secondary,no,2476,yes,no,unknown,5,579,1,-1,0,yes
130,55,married,unknown,no,1185,no,no,unknown,5,677,1,-1,0,no
131,32,single,secondary,no,217,yes,no,unknown,5,345,1,-1,0,no
132,38,single,secondary,no,1685,yes,no,unknown,5,185,1,-1,0,no
133,55,single,secondary,no,802,yes,yes,unknown,5,100,2,-1,0,no
134,28,single,tertiary,no,0,yes,no,unknown,5,125,2,-1,0,no
135,23,married,secondary,no,94,yes,no,unknown,5,193,1,-1,0,no
136,32,single,secondary,no,0,yes,no,unknown,5,136,1,-1,0,no
137,43,single,unknown,no,0,no,no,unknown,5,73,1,-1,0,no
138,32,married,secondary,no,517,yes,no,unknown,5,528,1,-1,0,no
139,46,married,secondary,no,265,yes,no,unknown,5,541,1,-1,0,no
140,53,divorced,primary,no,947,yes,no,unknown,5,163,1,-1,0,no
141,34,single,secondary,no,3,yes,no,unknown,5,301,1,-1,0,no
142,57,married,tertiary,no,42,no,no,unknown,5,46,1,-1,0,no
143,37,married,secondary,no,37,yes,no,unknown,5,204,1,-1,0,no
144,59,married,secondary,no,57,yes,no,unknown,5,98,1,-1,0,no
145,33,married,secondary,no,22,yes,no,unknown,5,71,1,-1,0,no
146,56,divorced,primary,no,8,yes,no,unknown,5,157,2,-1,0,no
147,48,married,secondary,no,293,yes,no,unknown,5,243,1,-1,0,no
148,43,married,primary,no,3,yes,no,unknown,5,186,2,-1,0,no
149,54,married,primary,no,348,yes,no,unknown,5,579,2,-1,0,no
150,51,married,unknown,no,-19,yes,no,unknown,5,163,2,-1,0,no
151,26,single,secondary,no,0,yes,no,unknown,5,610,2,-1,0,no
152,40,married,tertiary,no,-4,yes,no,unknown,5,2033,1,-1,0,no
153,39,married,secondary,no,18,yes,no,unknown,5,85,1,-1,0,no
154,50,married,primary,no,139,no,no,unknown,5,114,2,-1,0,no
155,41,married,secondary,no,0,yes,no,unknown,5,114,2,-1,0,no
156,51,married,unknown,no,1883,yes,no,unknown,5,57,1,-1,0,no
157,60,divorced,secondary,no,216,yes,no,unknown,5,238,1,-1,0,no
158,52,married,secondary,no,782,yes,no,unknown,5,93,3,-1,0,no
159,48,married,secondary,no,904,yes,no,unknown,5,128,2,-1,0,no
160,48,married,unknown,no,1705,yes,no,unknown,5,107,1,-1,0,no
161,39,single,tertiary,no,47,yes,no,unknown,5,181,1,-1,0,no
162,47,single,secondary,no,176,yes,no,unknown,5,303,2,-1,0,no
163,40,married,secondary,no,1225,yes,no,unknown,5,558,5,-1,0,no
164,45,married,secondary,no,86,yes,no,unknown,5,270,1,-1,0,no
165,26,single,secondary,no,82,yes,no,unknown,5,228,1,-1,0,no
166,52,married,tertiary,no,271,yes,no,unknown,5,99,1,-1,0,no
167,54,married,secondary,no,1378,yes,no,unknown,5,240,1,-1,0,no
168,54,married,tertiary,no,184,no,no,unknown,5,673,2,-1,0,yes
169,50,married,primary,no,0,no,no,unknown,5,233,3,-1,0,no
170,35,married,secondary,no,0,yes,no,unknown,5,1056,1,-1,0,no
171,44,married,secondary,no,1357,yes,yes,unknown,5,250,1,-1,0,no
172,53,married,unknown,no,19,yes,no,unknown,5,252,1,-1,0,no
173,35,single,primary,no,434,no,no,unknown,5,138,1,-1,0,no
174,60,divorced,secondary,no,92,yes,no,unknown,5,130,1,-1,0,no
175,53,divorced,secondary,no,1151,yes,no,unknown,5,412,1,-1,0,no
176,48,married,secondary,no,41,yes,no,unknown,5,179,2,-1,0,no
177,34,married,secondary,no,51,yes,no,unknown,5,19,2,-1,0,no
178,54,married,secondary,no,214,yes,no,unknown,5,458,2,-1,0,no
179,51,married,secondary,no,1161,yes,no,unknown,5,717,1,-1,0,no
180,31,married,tertiary,no,37,yes,no,unknown,5,313,1,-1,0,no
181,35,divorced,secondary,no,787,yes,no,unknown,5,683,2,-1,0,no
182,35,married,secondary,no,59,yes,no,unknown,5,1077,1,-1,0,no
183,38,married,secondary,no,253,yes,no,unknown,5,416,1,-1,0,no
184,36,married,tertiary,no,211,yes,no,unknown,5,146,2,-1,0,no
185,58,married,primary,no,235,yes,no,unknown,5,167,1,-1,0,no
186,40,divorced,unknown,no,4384,yes,no,unknown,5,315,1,-1,0,no
187,54,married,secondary,no,4080,no,no,unknown,5,140,1,-1,0,no
188,34,single,secondary,no,53,yes,yes,unknown,5,346,1,-1,0,no
189,31,single,tertiary,no,0,yes,no,unknown,5,562,1,-1,0,no
190,51,married,secondary,no,2127,yes,no,unknown,5,172,1,-1,0,no
191,33,married,tertiary,no,377,yes,no,unknown,5,217,1,-1,0,no
192,55,married,tertiary,no,73,yes,no,unknown,5,142,2,-1,0,no
193,42,married,secondary,no,445,yes,no,unknown,5,67,1,-1,0,no
194,34,married,secondary,no,243,yes,no,unknown,5,291,1,-1,0,no
195,33,single,secondary,no,307,yes,no,unknown,5,309,2,-1,0,no
196,38,married,secondary,no,155,yes,no,unknown,5,248,1,-1,0,no
197,50,divorced,tertiary,no,173,no,yes,unknown,5,98,1,-1,0,no
198,43,married,tertiary,no,400,yes,no,unknown,5,256,1,-1,0,no
199,61,divorced,primary,no,1428,yes,no,unknown,5,82,2,-1,0,no
200,47,married,secondary,no,219,yes,no,unknown,5,577,1,-1,0,no
201,48,married,tertiary,no,7,yes,no,unknown,5,286,1,-1,0,no
202,44,married,secondary,no,575,yes,no,unknown,5,477,1,-1,0,no
203,35,single,unknown,no,298,yes,no,unknown,5,611,2,-1,0,no
